line_id,longitude,latitude
0,-64.38336729958925,-42.232131659668326
0,-64.38358736915107,-42.23219777821706
0,-64.38376645848355,-42.23226164522964
0,-64.38394554817152,-42.2323255119565
0,-64.38413083859595,-42.23240174317032
0,-64.3844828193684,-42.232517110422876
0,-64.38466191047834,-42.232580976006915
0,-64.38483255258186,-42.23261918243809
0,-64.38500566264005,-42.23263520424924
0,-64.3851962986024,-42.23264055037503
0,-64.38537394690266,-42.23263840449735
0,-64.38555159518357,-42.23263625834464
0,-64.38572924344513,-42.23263411191687
0,-64.38590689168728,-42.23263196521406
0,-64.38608453991007,-42.23262981823621
0,-64.38635101220794,-42.232626597253706
0,-64.3865286603823,-42.23262444958825
0,-64.38670630853726,-42.23262230164774
0,-64.38688395667283,-42.23262015343218
0,-64.38706160478904,-42.23261800494158
0,-64.38723925288585,-42.232615856175926
0,-64.38741690096327,-42.23261370713524
0,-64.38768337304302,-42.2326104830585
0,-64.38786102107196,-42.2326083333302
0,-64.38803866908147,-42.23260618332685
0,-64.38821631707161,-42.23260403304846
0,-64.38839396504233,-42.232601882495025
0,-64.38857161299363,-42.23259973166655
0,-64.38874926092554,-42.232597580563045
0,-64.38901573278697,-42.23259435339202
0,-64.38919338067033,-42.232592201600916
0,-64.38937102853428,-42.23259004953474
0,-64.38954867637881,-42.232587897193525
0,-64.3897263242039,-42.23258574457728
0,-64.38990397200956,-42.23258359168596
0,-64.39003358245535,-42.23255852840189
0,-64.39018041687973,-42.23249672988997
0,-64.39025924378123,-42.23245095317546
0,-64.3903828938228,-42.23236855500567
0,-64.39052200011957,-42.232286156728314
0,-64.39060731656352,-42.2322449264359
0,-64.39078351388173,-42.23217676200983
0,-64.39095971081537,-42.232108597317804
0,-64.39113590736443,-42.232040432359874
0,-64.39130717788355,-42.231968006814576
0,-64.39139947642087,-42.23190517933912
0,-64.39157567191843,-42.23183701371843
0,-64.39175186703142,-42.23176884783182
0,-64.39200889186945,-42.23168991043255
0,-64.39217581942557,-42.2316143778703
0,-64.39228045006293,-42.23156434857645
0,-64.3924566436376,-42.23149618162615
0,-64.3927446096168,-42.23137862414008
0,-64.39280902963323,-42.231359846927816
0,-64.3929852220542,-42.23129167917979
0,-64.39316141409056,-42.23122351116584
0,-64.39333760574236,-42.231155342886005
0,-64.39360116632834,-42.23102008490824
0,-64.39377735692864,-42.230951915965704
0,-64.39404091571345,-42.23081665699894
0,-64.39421710526223,-42.23074848739376
0,-64.39439329442645,-42.23068031752268
0,-64.39461327087008,-42.230552334697194
0,-64.39471837340541,-42.230499689850916
0,-64.39490075721673,-42.23043102259415
0,-64.39505531976869,-42.23037608873496
0,-64.39518541392754,-42.23034054477134
0,-64.39532734986014,-42.23028453219671
0,-64.39552828117769,-42.23022959821001
0,-64.39567666122757,-42.23018610876997
0,-64.39588068379618,-42.23014719714033
0,-64.39606925459951,-42.230131705577065
0,-64.39624689504467,-42.2301295429633
0,-64.39642453547029,-42.23012738007453
0,-64.39660217587641,-42.23012521691072
0,-64.396779816263,-42.230123053471914
0,-64.39695745663009,-42.23012088975809
0,-64.39713509697764,-42.23011872576925
0,-64.39731273730565,-42.23011656150537
0,-64.39749037761415,-42.230114396966485
0,-64.3976680179031,-42.23011223215259
0,-64.39784565817253,-42.23011006706368
0,-64.39802329842242,-42.230107901699746
0,-64.39820093865276,-42.2301057360608
0,-64.39837857886356,-42.23010357014683
0,-64.39855621905481,-42.23010140395785
0,-64.39873385922654,-42.230099237493846
0,-64.39891149937868,-42.23009707075485
0,-64.39908913951129,-42.23009490374083
0,-64.39926677962434,-42.230092736451766
0,-64.39944441971782,-42.23009056888771
0,-64.39962205979177,-42.23008840104864
0,-64.39979969984614,-42.23008623293454
0,-64.39997733988095,-42.23008406454542
0,-64.40015497989619,-42.23008189588132
0,-64.40033261989186,-42.230079726942165
0,-64.40051292347844,-42.23010027426092
0,-64.4007109982599,-42.230116220038674
0,-64.40088863838182,-42.2301140502695
0,-64.40106625741447,-42.23011400779021
0,-64.40122227980963,-42.2301348880363
0,-64.4015790205243,-42.2301965564771
0,-64.4017710626514,-42.23023760941939
0,-64.40211486343279,-42.23032206198046
0,-64.40233985284263,-42.23038181101419
0,-64.40265070840421,-42.230447564945514
0,-64.40284681801307,-42.230487100859456
0,-64.40300745215937,-42.23050922889212
0,-64.40318509313641,-42.23050705551776
0,-64.40336273409383,-42.23050488186839
0,-64.40354037503164,-42.230502707944005
0,-64.4037463720655,-42.23052143446669
0,-64.40393802962993,-42.23053059009212
0,-64.40408950093085,-42.23052830118589
0,-64.4042524019986,-42.230560019320706
0,-64.40443150662513,-42.2306238538349
0,-64.40461061160687,-42.23068768806325
0,-64.40478971694385,-42.230751522005754
0,-64.40496882263605,-42.23081535566244
0,-64.4051493930498,-42.23094519882794
0,-64.40541878539925,-42.23107395323224
0,-64.4055978926196,-42.23113778587981
0,-64.40577700019517,-42.23120161824149
0,-64.40595610812598,-42.23126545031736
0,-64.406135216412,-42.2313292821074
0,-64.40631432505326,-42.23139311361159
0,-64.40649343404974,-42.231456944829894
0,-64.40667254340144,-42.23152077576239
0,-64.40685165310838,-42.231584606409015
0,-64.40703076317052,-42.231648436769774
0,-64.40719775385081,-42.23172195452258
0,-64.4073229495179,-42.23181122011612
0,-64.40748074014537,-42.231907025997586
0,-64.40775014123068,-42.23203577477176
0,-64.40816686105163,-42.2322369465947
0,-64.40873599691608,-42.23241983513112
0,-64.4090076813343,-42.23252991798723
0,-64.40936216398117,-42.232610224758965
0,-64.4095412793962,-42.23267405110594
0,-64.40972039516643,-42.23273787716704
0,-64.40989951129188,-42.23280170294226
0,-64.41007862777253,-42.23286552843156
0,-64.41097127440753,-42.233052632382034
